"biotype_id"	"name"	"object_type"	"db_type"	"attrib_type_id"	"description"	"biotype_group"	"so_acc"	"so_term"
91	"transcribed_processed_pseudogene"	"gene"	"core,vega,presite"	NA	NA	"pseudogene"	"SO:0000336"	"pseudogene"
93	"transcribed_unitary_pseudogene"	"gene"	"core,vega"	NA	NA	"pseudogene"	"SO:0000336"	"pseudogene"
94	"transcribed_unprocessed_pseudogene"	"gene"	"core,vega,presite"	NA	NA	"pseudogene"	"SO:0000336"	"pseudogene"
96	"unitary_pseudogene"	"gene"	"core,vega,presite"	NA	NA	"pseudogene"	"SO:0000336"	"pseudogene"
98	"unprocessed_pseudogene"	"gene"	"core,vega,presite"	NA	NA	"pseudogene"	"SO:0000336"	"pseudogene"
100	"ccds_gene"	"gene"	"otherfeatures"	NA	"Imported CCDS gene models"	"undefined"	NA	NA
101	"protein_coding_in_progress"	"gene"	"vega"	NA	"occurs where the ORF is lost when remapping to a different assembly and the gene is awaiting reannotation"	"undefined"	NA	NA
102	"IG_Z_gene"	"gene"	"core,vega"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
103	"IG_M_gene"	"gene"	"core,vega"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
105	"TR_V_pseudogene"	"gene"	"core,otherfeatures,presite"	67	NA	"pseudogene"	"SO:0000336"	"pseudogene"
106	"TR_V_gene"	"gene"	"core,otherfeatures,presite"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
107	"IG_C_pseudogene"	"gene"	"core,otherfeatures,presite"	67	NA	"pseudogene"	"SO:0000336"	"pseudogene"
108	"TR_C_gene"	"gene"	"core,otherfeatures,presite"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
109	"TR_J_gene"	"gene"	"core,otherfeatures,presite"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
123	"antisense_RNA"	"gene"	"core,otherfeatures"	NA	"From RefSeq import"	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
125	"scRNA"	"gene"	"core,otherfeatures,vega"	NA	"From RefSeq import or Havana manual annotation."	"snoncoding"	"SO:0001263"	"ncRNA_gene"
127	"RNase_MRP_RNA"	"gene"	"core,otherfeatures,presite"	NA	"From RefSeq import or Rfamscan"	"snoncoding"	"SO:0001263"	"ncRNA_gene"
129	"RNase_P_RNA"	"gene"	"core,otherfeatures,presite"	NA	"From RefSeq import or Rfamscan"	"snoncoding"	"SO:0001263"	"ncRNA_gene"
131	"telomerase_RNA"	"gene"	"core,otherfeatures,presite"	NA	"From RefSeq import or Rfamscan"	"snoncoding"	"SO:0001263"	"ncRNA_gene"
138	"sense_intronic"	"gene"	"core,vega,presite"	350	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
139	"ambiguous_orf"	"gene"	"core,vega"	351	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
140	"retained_intron"	"gene"	"core,vega,presite"	352	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
142	"3prime_overlapping_ncRNA"	"gene"	"core,vega,presite"	NA	NA	"lnoncoding"	NA	NA
143	"ncRNA_host"	"gene"	"core,vega"	NA	NA	"lnoncoding"	NA	NA
144	"sense_overlapping"	"gene"	"core,vega,presite"	355	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
148	"TR_D_gene"	"gene"	"core,otherfeatures,presite"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
149	"TR_J_pseudogene"	"gene"	"core,otherfeatures,presite"	67	NA	"pseudogene"	"SO:0000336"	"pseudogene"
150	"ncbi_pseudogene"	"gene"	"otherfeatures"	NA	"Imported annotation from RefSeq"	"pseudogene"	"SO:0000336"	"pseudogene"
152	"ncbigene"	"gene"	"otherfeatures"	NA	"Imported annotation from RefSeq"	"undefined"	NA	NA
155	"tmRNA"	"gene"	"core"	NA	"One of the classes of ncRNA genes that is only found in bacteria. Hence only required for EnsemblBacteria."	"snoncoding"	"SO:0001263"	"ncRNA_gene"
157	"SRP_RNA"	"gene"	"core,otherfeatures"	NA	"The signal recognition particle (SRP) RNA is one of the classes of ncRNA genes."	"snoncoding"	"SO:0001263"	"ncRNA_gene"
163	"ncRNA_pseudogene"	"gene"	"otherfeatures"	99	"noncoding RNA pseudogene"	"pseudogene"	"SO:0000336"	"pseudogene"
165	"IG_LV_gene"	"gene"	"core"	100	NA	"coding"	"SO:0001217"	"protein_coding_gene"
167	"translated_processed_pseudogene"	"gene"	"core,vega,presite"	NA	NA	"pseudogene"	"SO:0000336"	"pseudogene"
169	"nontranslating_CDS"	"gene"	"core,otherfeatures"	NA	"An imported 'protein-coding' gene that does not translate due to one or more unannotated stop codons."	"coding"	"SO:0001217"	"protein_coding_gene"
171	"translated_unprocessed_pseudogene"	"gene"	"core,vega"	NA	NA	"pseudogene"	"SO:0000336"	"pseudogene"
173	"mRNA"	"gene"	"otherfeatures"	NA	"From RefSeq import"	"coding"	"SO:0001217"	"protein_coding_gene"
175	"pre_miRNA"	"gene"	"core"	NA	"This is the pre miRNA information extracted from FlyBase annotations distinctive from the miRNA form for the same gene model.Gautier is happy for this to be in the short noncoding group."	"snoncoding"	"SO:0001263"	"ncRNA_gene"
176	"artifact"	"gene"	"core,vega"	NA	"Annotation on artifactual duplicate regions on chromosome 21 of the GRCh38 genome assembly."	"undefined"	NA	NA
178	"lncRNA"	"gene"	"core,otherfeatures,vega,presite"	190	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
179	"class_I_RNA"	"gene"	"core"	NA	"Small non-coding RNA (55-65 nt long) containing highly conserved 5' and 3' ends (16 and 8 nt, respectively) that are predicted to come together to form a stem structure. Identified in the social amoeba Dictyostelium discoideum and localized in the cytoplasm."	"snoncoding"	"SO:0001263"	"ncRNA_gene"
181	"class_II_RNA"	"gene"	"core"	NA	"Small non-coding RNA (59-60 nt long) containing 5' and 3' ends that are predicted to come together to form a stem structure. Identified in the social amoeba Dictyostelium discoideum and localized in the cytoplasm."	"snoncoding"	"SO:0001263"	"ncRNA_gene"
183	"known_ncRNA"	"gene"	"core,otherfeatures,vega,sangervega"	NA	NA	"snoncoding"	NA	NA
186	"piRNA"	"gene"	"core"	NA	"A small non coding RNA, part of a silencing system that prevents the spreading of selfish genetic elements."	"snoncoding"	"SO:0001263"	"ncRNA_gene"
188	"IG_D_pseudogene"	"gene"	"core,otherfeatures,presite"	67	NA	"pseudogene"	"SO:0000336"	"pseudogene"
189	"macro_lncRNA"	"gene"	"core,vega"	388	"Unspliced lncRNAs that are several kb in size"	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
192	"scaRNA"	"gene"	"core,otherfeatures,presite"	440	NA	"snoncoding"	"SO:0001263"	"ncRNA_gene"
195	"sRNA"	"gene"	"core,otherfeatures,presite"	441	NA	"snoncoding"	"SO:0001263"	"ncRNA_gene"
199	"antitoxin"	"gene"	"core,otherfeatures,presite"	443	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
200	"ribozyme"	"gene"	"core,otherfeatures,presite"	359	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
205	"guide_RNA"	"gene"	"core,otherfeatures"	NA	"From RefSeq import"	"snoncoding"	"SO:0001263"	"ncRNA_gene"
207	"Y_RNA"	"gene"	"core,otherfeatures"	NA	NA	"snoncoding"	"SO:0001263"	"ncRNA_gene"
210	"transposable_element"	"gene"	"core"	NA	NA	"no_group"	"SO:0000111"	"transposable_element_gene"
212	"bidirectional_promoter_lncRNA"	"gene"	"core,vega,presite"	NA	NA	"lnoncoding"	"SO:0002185"	"bidirectional_promoter_lncRNA"
215	"unknown_likely_coding"	"gene"	"core"	NA	"Biotype introduced by UCSC in the mouse strains, for genes/transcripts that were not in the mouse reference but are likely to be new protein coding models."	"coding"	NA	NA
217	"other"	"gene"	"otherfeatures"	NA	NA	"undefined"	NA	NA
219	"aligned_transcript"	"gene"	"otherfeatures"	NA	"Capture Long Seq (CLS) on human and mouse"	"undefined"	NA	NA
221	"antisense"	"gene"	"core,presite"	NA	NA	"lnoncoding"	"SO:0001263"	"ncRNA_gene"
223	"vault_RNA"	"gene"	"core,otherfeatures,vega"	NA	"short non coding RNA genes that form part of the vault ribonucleoprotein complex"	"snoncoding"	"SO:0001263"	"ncRNA_gene"
226	"rnaseq_putative_cds"	"gene"	"core"	NA	"A biotype for gene/transcripts with transcriptomic data and some very weak support for the cds. This currently means that the cds is less than < 1500bp, is composed of less than 3 coding exons and has less than 40 percent coverage from an alignment of a protein existence level 1 or 2 vertebrate protein from UniProt. We believe there is potentially a cds at these positions, but the evidence is not strong enough to include it directly in the protein coding gene set"	"coding"	NA	NA
227	"transcribed_pseudogene"	"gene"	"otherfeatures"	NA	"This is for the RefSeq GFF3 import."	"pseudogene"	NA	NA
230	"pseudogene_with_CDS"	"gene"	"core,otherfeatures"	NA	"pseudogene with CDS. Genes  annotated as pseudogenes, for which  we keep the CDS in case it may actually be translated,  but hypothetically, without any evidence that it actually is."	"coding"	"SO:0000336"	"pseudogene"
232	"misc_non_coding"	"gene"	"core"	NA	"Miscellaneous non-coding genes, including both long non-coding sequences and nontranslating CDS."	"mnoncoding"	NA	NA
238	"transposable_element_pseudogene"	"gene"	"core"	NA	NA	"pseudogene"	"SO:0001897"	"transposable_element_pseudogene"
237	"transposable_element_gene"	"gene"	"core"	NA	NA	"coding"	"SO:0000111"	"transposable_element_gene"
